"","Title","Rating","TotalVotes","Genre1","Genre2","Genre3","MetaCritic","Budget","Runtime","�..CVotes10","CVotes09","CVotes08","CVotes07","CVotes06","CVotes05","CVotes04","CVotes03","CVotes02","CVotes01","CVotesMale","CVotesFemale","CVotesU18","CVotesU18M","CVotesU18F","CVotes1829","CVotes1829M","CVotes1829F","CVotes3044","CVotes3044M","CVotes3044F","CVotes45A","CVotes45AM","CVotes45AF","CVotes1000","CVotesUS","CVotesnUS","VotesM","VotesF","VotesU18","VotesU18M","VotesU18F","Votes1829","Votes1829M","Votes1829F","Votes3044","Votes3044M","Votes3044F","Votes45A","Votes45AM","Votes45AF","VotesIMDB","Votes1000","VotesUS","VotesnUS"
"64","Nebraska (2013)",7.7,"97,059","Adventure","Comedy","Drama",86,"Budget:        $12,000,000              (estimated)","115 min",8377,17556,35402,22938,7672,2578,993,535,372,638," 70069"," 13162"," 154"," 128"," 23"," 33708"," 28004"," 5354"," 35361"," 29899"," 4966"," 11142"," 8910"," 2028"," 458"," 18237"," 48960"," 7.7"," 7.7"," 8.0"," 8.0"," 7.5"," 7.8"," 7.9"," 7.8"," 7.7"," 7.7"," 7.7"," 7.7"," 7.7"," 7.9"," 7.7"," 7.3"," 7.8"," 7.7"
"65","Nightcrawler (2014)",7.9,"340,717","Crime","Drama","Thriller",76,"Budget:        $8,500,000              (estimated)","118 min",30873,66834,130676,77067,22511,6698,2538,1243,790,1503," 235721"," 38888"," 1273"," 1077"," 186"," 139458"," 116782"," 21181"," 101467"," 87631"," 12407"," 17889"," 15053"," 2504"," 584"," 41811"," 160134"," 7.9"," 7.7"," 8.4"," 8.5"," 8.2"," 8.0"," 8.0"," 7.7"," 7.7"," 7.7"," 7.5"," 7.7"," 7.7"," 7.7"," 8.3"," 7.8"," 8.0"," 7.8"
"66","Philomena (2013)",7.6,"81,855","Biography","Drama","",77,"Budget:        $12,000,000              (estimated)","98 min",6420,12446,30264,22752,6670,1743,599,293,163,506," 49275"," 20366"," 151"," 102"," 44"," 25522"," 16846"," 8377"," 29308"," 21323"," 7568"," 11825"," 8544"," 3079"," 436"," 12916"," 42480"," 7.6"," 7.7"," 7.8"," 7.7"," 8.0"," 7.6"," 7.6"," 7.7"," 7.6"," 7.5"," 7.7"," 7.8"," 7.7"," 7.9"," 7.9"," 7.1"," 7.7"," 7.6"
"67","Pride (2014)",7.8,"40,577","Biography","Comedy","Drama",79,"Production Co:        Pathé,        BBC Films,        Proud Films              See more »","",6231,7731,13286,8196,2677,935,355,209,160,798," 23595"," 10096"," 118"," 64"," 53"," 12891"," 7830"," 4836"," 14115"," 10412"," 3476"," 5303"," 4045"," 1163"," 288"," 3222"," 23143"," 7.6"," 8.1"," 8.0"," 7.6"," 8.9"," 7.9"," 7.7"," 8.2"," 7.6"," 7.5"," 7.9"," 7.9"," 7.8"," 8.2"," 8.2"," 6.7"," 7.7"," 7.7"
"68","Prisoners (2013)",8.1,"441,037","Crime","Drama","Mystery",74,"Budget:        $46,000,000              (estimated)","153 min",57400,110853,161533,77122,20845,6515,2540,1376,897,1978," 297561"," 59221"," 1332"," 1075"," 248"," 177661"," 144671"," 31288"," 132740"," 111870"," 19074"," 23642"," 19293"," 3934"," 650"," 48353"," 208355"," 8.1"," 8.0"," 8.6"," 8.6"," 8.7"," 8.2"," 8.2"," 8.1"," 7.9"," 7.9"," 7.9"," 7.7"," 7.7"," 7.8"," 7.9"," 7.6"," 8.1"," 8.0"
"69","Rise of the Planet of the Apes (2011)",7.6,"434,037","Action","Drama","Sci-Fi",68,"Opening Weekend:         $54,806,191              (USA)      (5 August 2011)","",38666,61881,150351,116877,40634,13541,5252,2524,1566,2773," 320581"," 47940"," 1447"," 1234"," 202"," 165596"," 139939"," 24111"," 156688"," 137427"," 17241"," 29985"," 25601"," 3873"," 746"," 68084"," 213736"," 7.6"," 7.5"," 7.8"," 7.8"," 7.9"," 7.6"," 7.6"," 7.6"," 7.5"," 7.5"," 7.5"," 7.4"," 7.4"," 7.5"," 7.1"," 7.1"," 7.6"," 7.5"
"70","Rogue One (2016)",7.9,"349,210","Action","Adventure","Sci-Fi",65,"Budget:        $200,000,000              (estimated)","133 min",59090,78701,100374,63394,26072,9915,4002,2268,1527,3901," 229114"," 32521"," 2577"," 2176"," 388"," 110156"," 93000"," 15918"," 104268"," 92227"," 10442"," 23372"," 20336"," 2587"," 569"," 47885"," 139367"," 7.9"," 7.9"," 8.0"," 8.0"," 8.1"," 7.9"," 7.9"," 7.9"," 7.8"," 7.8"," 7.8"," 7.8"," 7.8"," 7.8"," 7.9"," 7.5"," 8.0"," 7.7"
"71","Rush (2013)",8.1,"345,486","Action","Biography","Drama",75,"Budget:        $38,000,000              (estimated)","123 min",53667,90907,119603,57343,14948,4436,1625,803,633,1532," 246354"," 35289"," 888"," 769"," 115"," 138327"," 119048"," 17987"," 105712"," 92487"," 11717"," 20105"," 17096"," 2660"," 593"," 30738"," 168519"," 8.1"," 8.0"," 8.3"," 8.3"," 8.0"," 8.3"," 8.3"," 8.2"," 8.0"," 8.0"," 7.9"," 7.8"," 7.8"," 7.8"," 7.4"," 7.1"," 7.9"," 8.1"
"72","Scott Pilgrim vs. the World (2010)",7.5,"297,633","Action","Comedy","Romance",69,"Budget:        $60,000,000              (estimated)","112 min",47292,48976,79198,59689,28452,13451,6977,4254,3069,6287," 208417"," 45718"," 1022"," 791"," 221"," 129202"," 99363"," 28557"," 102986"," 88456"," 13334"," 14195"," 12157"," 1778"," 677"," 56559"," 150511"," 7.5"," 7.4"," 8.1"," 8.2"," 8.0"," 7.6"," 7.7"," 7.5"," 7.4"," 7.4"," 7.2"," 7.1"," 7.1"," 7.0"," 7.8"," 6.6"," 7.8"," 7.4"
"73","Short Term 12 (2013)",8,"63,459","Drama","","",82,"Opening Weekend:         $56,206              (USA)      (23 August 2013)","",9518,14786,21228,11509,3649,1237,575,362,248,352," 40594"," 12108"," 172"," 119"," 51"," 28084"," 20441"," 7316"," 18841"," 15219"," 3341"," 3977"," 3104"," 799"," 319"," 11174"," 31098"," 8.0"," 8.2"," 8.5"," 8.5"," 8.7"," 8.2"," 8.2"," 8.3"," 7.8"," 7.7"," 7.9"," 7.7"," 7.7"," 8.0"," 8.5"," 7.0"," 8.3"," 7.9"
"74","Shutter Island (2010)",8.1,"871,391","Mystery","Thriller","",63,"Budget:        $80,000,000              (estimated)","138 min",150405,230844,278844,132349,45167,15615,7061,3780,2662,4703," 570554"," 136360"," 2321"," 1811"," 494"," 364786"," 283316"," 78332"," 263273"," 217923"," 42222"," 43235"," 35277"," 7256"," 840"," 108244"," 419648"," 8.1"," 8.2"," 8.6"," 8.6"," 8.8"," 8.4"," 8.4"," 8.4"," 7.9"," 7.9"," 8.0"," 7.5"," 7.4"," 7.6"," 7.3"," 7.6"," 7.8"," 8.1"
"75","Sicario (2015)",7.6,"250,849","Action","Crime","Drama",82,"Budget:        $30,000,000              (estimated)","121 min",19576,40247,85359,64633,24920,8548,3261,1669,970,1689," 178321"," 21448"," 730"," 650"," 73"," 86373"," 75660"," 9762"," 84517"," 75208"," 8116"," 17615"," 15277"," 2011"," 526"," 30824"," 118922"," 7.6"," 7.3"," 7.8"," 7.8"," 7.2"," 7.7"," 7.7"," 7.3"," 7.5"," 7.6"," 7.2"," 7.6"," 7.6"," 7.4"," 8.0"," 7.2"," 7.8"," 7.6"
"76","Silver Linings Playbook (2012)",7.8,"570,344","Comedy","Drama","Romance",81,"Budget:        $21,000,000              (estimated)","122 min",73783,107247,184382,123467,46614,17257,6997,3682,2457,4470," 338051"," 131000"," 1548"," 875"," 660"," 236404"," 160001"," 73922"," 170543"," 129880"," 38160"," 32839"," 24722"," 7550"," 733"," 79953"," 259084"," 7.8"," 7.7"," 8.1"," 8.1"," 8.1"," 7.9"," 7.9"," 7.7"," 7.6"," 7.7"," 7.6"," 7.6"," 7.6"," 7.7"," 8.0"," 6.9"," 8.0"," 7.6"
"77","Sing Street (2016)",8,"56,066","Comedy","Drama","Music",79,"Opening Weekend:         $63,573              (USA)      (15 April 2016)","",8401,12738,19689,10616,3089,825,303,135,79,200," 34349"," 8738"," 412"," 300"," 109"," 21258"," 16219"," 4808"," 14781"," 12094"," 2423"," 4053"," 3329"," 637"," 225"," 7186"," 24645"," 8.0"," 8.0"," 8.5"," 8.5"," 8.4"," 8.1"," 8.1"," 8.1"," 7.8"," 7.8"," 7.8"," 7.9"," 7.8"," 8.0"," 8.2"," 7.2"," 8.1"," 7.9"
"78","Skyfall (2012)",7.8,"552,367","Action","Adventure","Thriller",81,"Budget:        $200,000,000              (estimated)","143 min",69286,105160,178610,119630,45168,16321,6682,3706,2378,5440," 391158"," 65929"," 1726"," 1443"," 264"," 211059"," 175769"," 33140"," 178148"," 153888"," 21704"," 40529"," 34070"," 5793"," 802"," 73825"," 262166"," 7.7"," 7.7"," 8.2"," 8.2"," 7.9"," 7.9"," 7.9"," 7.8"," 7.6"," 7.6"," 7.6"," 7.7"," 7.7"," 7.9"," 7.6"," 7.4"," 8.0"," 7.6"
"79","Spotlight (2015)",8.1,"279,211","Crime","Drama","History",93,"Budget:        $20,000,000              (estimated)","128 min",35421,72285,100793,49236,13488,4034,1365,698,517,1388," 173290"," 43313"," 1197"," 961"," 223"," 104770"," 81050"," 22603"," 79398"," 64865"," 13310"," 17981"," 14134"," 3485"," 568"," 33235"," 125291"," 8.1"," 8.1"," 8.3"," 8.3"," 8.4"," 8.2"," 8.2"," 8.2"," 8.0"," 8.0"," 8.0"," 8.1"," 8.0"," 8.4"," 8.6"," 7.5"," 8.3"," 8.0"
"80","Star Trek Into Darkness (2013)",7.8,"421,473","Action","Adventure","Sci-Fi",72,"Budget:        $190,000,000              (estimated)","132 min",59347,81516,136088,87940,32150,11522,4862,2627,1739,3694," 293195"," 54871"," 1167"," 919"," 235"," 139465"," 112847"," 25177"," 148254"," 127249"," 18897"," 35964"," 29756"," 5593"," 747"," 71968"," 181224"," 7.7"," 8.0"," 7.8"," 7.8"," 8.2"," 7.9"," 7.8"," 8.1"," 7.6"," 7.6"," 7.9"," 7.7"," 7.7"," 8.1"," 7.4"," 7.1"," 7.9"," 7.6"
"81","Star Wars: The Force Awakens (2015)",8.1,"676,732","Action","Adventure","Fantasy",81,"Budget:        $245,000,000              (estimated)","136 min",155391,161810,166378,99402,40734,18060,8751,5970,4489,15768," 425971"," 68664"," 4722"," 3919"," 768"," 220467"," 183671"," 34366"," 187138"," 162918"," 21362"," 42942"," 36441"," 5729"," 712"," 85141"," 250769"," 8.0"," 8.3"," 8.5"," 8.5"," 8.6"," 8.2"," 8.2"," 8.3"," 8.0"," 7.9"," 8.2"," 7.9"," 7.8"," 8.2"," 8.3"," 7.7"," 8.2"," 7.9"
"82","Straight Outta Compton (2015)",7.9,"144,011","Biography","Drama","History",72,"Budget:        $28,000,000              (estimated)","147 min",24527,29039,48956,26956,7959,2418,921,531,427,2286," 96591"," 14262"," 760"," 658"," 95"," 55050"," 47556"," 6918"," 40331"," 35072"," 4713"," 7220"," 5880"," 1214"," 393"," 23736"," 56104"," 7.9"," 8.0"," 8.3"," 8.3"," 8.6"," 8.0"," 8.0"," 8.0"," 7.7"," 7.7"," 7.8"," 7.4"," 7.3"," 7.7"," 7.9"," 6.8"," 7.9"," 7.7"
"83","Tangled (2010)",7.8,"321,593","Animation","Adventure","Comedy",71,"Opening Weekend:         $48,767,052              (USA)      (26 November 2010)","",56575,54688,97207,70947,26805,8530,3043,1396,805,1606," 166088"," 97213"," 1950"," 1048"," 885"," 144744"," 81897"," 61390"," 89588"," 63534"," 24912"," 15318"," 11277"," 3805"," 622"," 47643"," 148024"," 7.6"," 8.2"," 7.8"," 7.4"," 8.3"," 7.9"," 7.7"," 8.2"," 7.6"," 7.5"," 8.0"," 7.7"," 7.6"," 7.9"," 7.5"," 6.9"," 7.9"," 7.7"
"84","The Artist (2011)",7.9,"201,344","Comedy","Drama","Romance",89,"Budget:        $15,000,000              (estimated)","100 min",31192,45532,61088,35456,13521,5549,2569,1561,1248,3627," 133682"," 40741"," 363"," 269"," 92"," 78061"," 56575"," 20653"," 72326"," 56949"," 14301"," 19149"," 15042"," 3773"," 630"," 32063"," 109571"," 7.9"," 8.1"," 8.0"," 8.0"," 8.3"," 8.1"," 8.1"," 8.2"," 7.8"," 7.8"," 8.0"," 7.8"," 7.8"," 8.1"," 8.1"," 7.1"," 8.0"," 7.9"
"85","The Avengers (2012)",8.1,"1,056,773","Action","Sci-Fi","",69,"Budget:        $220,000,000              (estimated)","143 min",260257,234203,264290,162604,67579,27957,12176,7201,4996,15528," 691783"," 151617"," 4953"," 3767"," 1150"," 432999"," 343012"," 85465"," 295318"," 247617"," 43303"," 54282"," 44183"," 9138"," 842"," 145826"," 423958"," 8.0"," 8.2"," 8.2"," 8.2"," 8.5"," 8.1"," 8.1"," 8.3"," 8.0"," 8.0"," 8.1"," 7.9"," 7.9"," 8.1"," 7.9"," 7.4"," 8.3"," 7.9"
"86","The Big Short (2015)",7.8,"254,317","Biography","Comedy","Drama",81,"Budget:        $28,000,000              (estimated)","130 min",22879,48091,94303,58756,18650,6141,2253,1133,713,1415," 167875"," 31804"," 982"," 825"," 147"," 93777"," 76925"," 15725"," 77242"," 65202"," 10813"," 16496"," 13532"," 2658"," 501"," 32587"," 115947"," 7.8"," 7.6"," 7.8"," 7.8"," 7.6"," 7.8"," 7.9"," 7.6"," 7.7"," 7.7"," 7.6"," 7.7"," 7.7"," 7.8"," 7.9"," 7.3"," 7.9"," 7.7"
"87","The Book Thief (2013)",7.6,"107,880","Drama","War","",NA,"Budget:        $19,000,000              (estimated)","131 min",15911,17607,32570,24461,10274,3848,1387,726,342,755," 59365"," 29422"," 481"," 206"," 270"," 41094"," 24058"," 16590"," 32014"," 23730"," 7792"," 10218"," 7635"," 2406"," 378"," 10845"," 52519"," 7.4"," 7.9"," 8.0"," 7.6"," 8.5"," 7.7"," 7.6"," 8.0"," 7.3"," 7.2"," 7.7"," 7.6"," 7.5"," 8.0"," 6.7"," 6.6"," 7.6"," 7.5"
"88","The Dark Knight Rises (2012)",8.4,"1,240,780","Action","Thriller","",78,"Budget:        $250,000,000              (estimated)","164 min",380589,341965,281426,134959,50406,20106,9589,5713,4073,11988," 842343"," 143070"," 4726"," 4023"," 672"," 509635"," 425041"," 79826"," 348324"," 299862"," 43434"," 55689"," 46968"," 7741"," 840"," 160533"," 501687"," 8.5"," 8.4"," 8.6"," 8.5"," 8.6"," 8.7"," 8.7"," 8.6"," 8.3"," 8.3"," 8.2"," 7.9"," 7.9"," 7.9"," 7.8"," 7.8"," 8.4"," 8.4"
"89","The Fault in Our Stars (2014)",7.8,"276,272","Drama","Romance","",69,"Budget:        $12,000,000              (estimated)","126 min",62666,51004,70457,49770,21628,8843,3907,2173,1560,4271," 128951"," 83384"," 2833"," 897"," 1910"," 127407"," 71749"," 54368"," 55300"," 38826"," 15674"," 10189"," 7180"," 2836"," 426"," 26518"," 110065"," 7.7"," 7.9"," 8.1"," 7.5"," 8.5"," 7.8"," 7.8"," 8.0"," 7.6"," 7.6"," 7.8"," 7.6"," 7.5"," 7.7"," 7.5"," 6.8"," 7.6"," 7.7"
"90","The Fighter (2010)",7.8,"292,823","Action","Biography","Drama",79,"Budget:        $25,000,000              (estimated)","116 min",27835,55315,117623,64849,17902,4969,1704,922,547,1163," 220445"," 31021"," 447"," 388"," 57"," 119646"," 103848"," 14740"," 106479"," 93016"," 12203"," 17229"," 14289"," 2681"," 684"," 49851"," 153538"," 7.9"," 7.7"," 8.1"," 8.1"," 8.2"," 8.0"," 8.0"," 7.8"," 7.8"," 7.8"," 7.7"," 7.7"," 7.7"," 7.7"," 7.6"," 7.3"," 8.0"," 7.8"
"91","The Girl with the Dragon Tattoo (2011)",7.8,"352,566","Crime","Drama","Mystery",71,"Budget:        $90,000,000              (estimated)","158 min",42288,71561,124463,72617,23722,8041,3339,1846,1330,3369," 240171"," 62813"," 426"," 314"," 105"," 139185"," 104871"," 32900"," 126724"," 103186"," 21796"," 26933"," 21558"," 4922"," 710"," 56794"," 177937"," 7.8"," 7.9"," 8.1"," 8.1"," 8.2"," 8.0"," 8.0"," 7.9"," 7.7"," 7.7"," 7.8"," 7.7"," 7.7"," 7.9"," 7.9"," 7.4"," 8.0"," 7.8"
"92","The Grand Budapest Hotel (2014)",8.1,"541,526","Adventure","Comedy","Drama",88,"Budget:        $25,000,000              (estimated)","99 min",84258,142011,168705,88086,31632,12023,5455,3196,2204,3971," 332149"," 96997"," 2083"," 1537"," 530"," 216106"," 158823"," 54913"," 153604"," 123255"," 27996"," 33156"," 26147"," 6375"," 679"," 58814"," 248067"," 8.1"," 8.2"," 8.6"," 8.6"," 8.5"," 8.2"," 8.2"," 8.3"," 7.9"," 7.9"," 8.0"," 7.8"," 7.8"," 7.9"," 8.0"," 7.7"," 8.1"," 8.0"
"93","The Help (2011)",8.1,"347,299","Drama","","",62,"Budget:        $25,000,000              (estimated)","146 min",60811,82560,115917,57034,17268,6011,2456,1326,974,2948," 173908"," 115762"," 990"," 507"," 474"," 136852"," 72944"," 62426"," 110695"," 72802"," 36317"," 28383"," 18891"," 9023"," 645"," 59445"," 157474"," 7.9"," 8.4"," 8.3"," 8.1"," 8.6"," 8.2"," 8.0"," 8.5"," 7.9"," 7.8"," 8.3"," 8.0"," 7.9"," 8.3"," 7.9"," 7.0"," 8.0"," 8.0"
"94","The Hobbit: An Unexpected Journey (2012)",7.9,"675,678","Adventure","Fantasy","",NA,"Budget:        $180,000,000              (estimated)","169 min",135848,132202,191128,122538,51765,19699,8227,4588,2845,6846," 445566"," 104340"," 2577"," 1966"," 593"," 278388"," 217052"," 58630"," 195765"," 162768"," 30209"," 37575"," 30484"," 6457"," 785"," 78375"," 308010"," 7.8"," 8.1"," 8.0"," 7.9"," 8.3"," 8.0"," 8.0"," 8.2"," 7.7"," 7.7"," 7.9"," 7.7"," 7.6"," 8.0"," 7.0"," 7.5"," 7.8"," 7.8"
"95","The Hobbit: The Desolation of Smaug (2013)",7.9,"520,084","Adventure","Fantasy","",66,"Budget:        $225,000,000              (estimated)","161 min",97766,101709,153173,95756,39268,15248,6452,3519,2251,4955," 343498"," 74772"," 2463"," 1881"," 567"," 215009"," 170290"," 42613"," 144473"," 121518"," 20892"," 27811"," 22820"," 4514"," 716"," 56067"," 234354"," 7.8"," 8.1"," 8.1"," 8.0"," 8.5"," 8.0"," 8.0"," 8.2"," 7.7"," 7.7"," 7.9"," 7.7"," 7.6"," 7.9"," 7.1"," 7.5"," 7.8"," 7.8"
"96","The Hunger Games: Catching Fire (2013)",7.6,"531,466","Action","Adventure","Mystery",76,"Budget:        $130,000,000              (estimated)","146 min",85219,83874,150153,121748,50575,18571,7591,4094,2675,6978," 307237"," 115421"," 3650"," 1956"," 1664"," 218884"," 148652"," 67934"," 140683"," 109976"," 28735"," 27789"," 21545"," 5771"," 693"," 68521"," 221430"," 7.4"," 8.1"," 8.0"," 7.7"," 8.5"," 7.8"," 7.6"," 8.2"," 7.3"," 7.2"," 7.9"," 7.3"," 7.2"," 7.9"," 7.3"," 6.7"," 7.7"," 7.4"
"97","The Imitation Game (2014)",8.1,"540,489","Biography","Drama","Thriller",73,"Budget:        $14,000,000              (estimated)","114 min",80221,137855,187223,94784,25801,7553,2625,1311,824,2307," 328283"," 92724"," 2703"," 1895"," 783"," 218870"," 163084"," 53533"," 141013"," 113989"," 24842"," 31492"," 24954"," 5984"," 637"," 48944"," 238440"," 8.0"," 8.3"," 8.5"," 8.3"," 8.8"," 8.2"," 8.1"," 8.4"," 7.8"," 7.8"," 8.1"," 8.0"," 7.9"," 8.3"," 8.2"," 7.3"," 8.0"," 8.0"
"98","The King's Speech (2010)",8,"540,240","Biography","Drama","",88,"Budget:        $15,000,000              (estimated)","118 min",69976,129146,187772,100984,31083,10120,3991,2090,1385,3702," 339153"," 108830"," 1150"," 827"," 311"," 212048"," 152316"," 57515"," 175900"," 137753"," 35664"," 41655"," 31784"," 9171"," 758"," 72154"," 272059"," 8.0"," 8.3"," 8.2"," 8.2"," 8.2"," 8.1"," 8.1"," 8.3"," 7.9"," 7.9"," 8.2"," 8.1"," 8.0"," 8.5"," 7.9"," 7.7"," 8.2"," 8.0"
