"","Title","Rating","TotalVotes","Genre1","Genre2","Genre3","MetaCritic","Budget","Runtime","�..CVotes10","CVotes09","CVotes08","CVotes07","CVotes06","CVotes05","CVotes04","CVotes03","CVotes02","CVotes01","CVotesMale","CVotesFemale","CVotesU18","CVotesU18M","CVotesU18F","CVotes1829","CVotes1829M","CVotes1829F","CVotes3044","CVotes3044M","CVotes3044F","CVotes45A","CVotes45AM","CVotes45AF","CVotes1000","CVotesUS","CVotesnUS","VotesM","VotesF","VotesU18","VotesU18M","VotesU18F","Votes1829","Votes1829M","Votes1829F","Votes3044","Votes3044M","Votes3044F","Votes45A","Votes45AM","Votes45AF","VotesIMDB","Votes1000","VotesUS","VotesnUS"
"99","The Lego Movie (2014)",7.8,"271,515","Animation","Action","Adventure",83,"Budget:        $60,000,000              (estimated)","100 min",41269,50795,83773,55181,21793,8596,3680,2053,1466,2918," 180122"," 37351"," 1887"," 1464"," 414"," 111043"," 89180"," 20677"," 77271"," 65191"," 11020"," 13346"," 11079"," 2032"," 579"," 42963"," 114308"," 7.8"," 7.7"," 8.2"," 8.2"," 7.9"," 7.9"," 8.0"," 7.7"," 7.6"," 7.6"," 7.5"," 7.4"," 7.4"," 7.4"," 8.1"," 7.2"," 8.0"," 7.6"
"100","The Little Prince (2015)",7.8,"40,777","Animation","Adventure","Drama",70,"Budget:        $81,200,000              (estimated)","108 min",7565,7321,11668,8558,3370,1162,456,227,158,293," 22441"," 9552"," 226"," 128"," 96"," 15959"," 10150"," 5610"," 12174"," 9280"," 2682"," 1899"," 1496"," 355"," 198"," 3678"," 19009"," 7.6"," 8.1"," 8.0"," 7.8"," 8.2"," 7.9"," 7.8"," 8.2"," 7.6"," 7.5"," 7.9"," 7.5"," 7.4"," 7.9"," 7.0"," 6.6"," 7.7"," 7.7"
"101","The Martian (2015)",8,"569,347","Adventure","Drama","Sci-Fi",80,"Budget:        $108,000,000              (estimated)","144 min",75560,139593,200315,102723,31179,9930,3815,2046,1316,2907," 359265"," 71421"," 3206"," 2543"," 638"," 200653"," 161765"," 36790"," 161073"," 136425"," 22228"," 35406"," 29354"," 5409"," 671"," 61128"," 239125"," 8.0"," 8.1"," 8.4"," 8.4"," 8.5"," 8.1"," 8.1"," 8.1"," 7.9"," 7.9"," 7.9"," 8.0"," 7.9"," 8.2"," 8.2"," 7.8"," 8.1"," 7.9"
"102","The Perks of Being a Wallflower (2012)",8,"382,665","Drama","Romance","",67,"Budget:        $13,000,000              (estimated)","102 min",78615,85725,110727,64343,24268,8739,3881,2015,1324,3037," 202178"," 108832"," 1980"," 807"," 1147"," 187119"," 112011"," 73101"," 89339"," 65550"," 22467"," 15562"," 11607"," 3660"," 572"," 48654"," 173536"," 8.0"," 8.1"," 8.4"," 8.3"," 8.5"," 8.1"," 8.1"," 8.2"," 7.8"," 7.8"," 7.8"," 7.7"," 7.7"," 7.7"," 8.2"," 7.0"," 8.1"," 7.9"
"103","The Revenant (2015)",8,"512,526","Adventure","Drama","Thriller",76,"Budget:        $135,000,000              (estimated)","156 min",79977,121229,158019,91154,33492,12837,5571,3386,2320,4570," 323938"," 61051"," 2619"," 2141"," 458"," 186003"," 152198"," 31926"," 138923"," 118140"," 18699"," 28582"," 23782"," 4269"," 624"," 51493"," 213741"," 8.0"," 7.9"," 8.5"," 8.5"," 8.2"," 8.1"," 8.2"," 7.9"," 7.9"," 7.9"," 7.7"," 7.8"," 7.8"," 7.8"," 8.3"," 7.6"," 8.1"," 7.9"
"104","The Social Network (2010)",7.7,"516,417","Biography","Drama","",95,"Budget:        $40,000,000              (estimated)","120 min",60189,89515,161983,122694,46869,16288,6351,3284,2914,6346," 351608"," 84711"," 1461"," 1142"," 309"," 225279"," 173908"," 49149"," 168440"," 139525"," 26636"," 28054"," 22588"," 4995"," 780"," 80615"," 265272"," 7.8"," 7.4"," 8.3"," 8.4"," 8.0"," 7.9"," 8.0"," 7.5"," 7.6"," 7.7"," 7.3"," 7.5"," 7.5"," 7.4"," 8.0"," 7.3"," 8.0"," 7.6"
"105","The Theory of Everything (2014)",7.7,"305,145","Biography","Drama","Romance",72,"Budget:        $15,000,000              (estimated)","123 min",36339,53814,104625,75080,23057,7013,2307,1075,575,1277," 174408"," 67669"," 1668"," 945"," 698"," 128871"," 86550"," 40915"," 79860"," 61623"," 17002"," 17231"," 13186"," 3737"," 547"," 27641"," 140414"," 7.6"," 8.0"," 8.1"," 7.9"," 8.5"," 7.8"," 7.8"," 8.1"," 7.5"," 7.5"," 7.7"," 7.6"," 7.6"," 7.8"," 8.1"," 6.9"," 7.5"," 7.6"
"106","The Town (2010)",7.6,"297,426","Crime","Drama","Thriller",74,"Budget:        $37,000,000              (estimated)","125 min",24170,42261,103949,83600,28025,8688,2970,1410,824,1533," 226697"," 31345"," 313"," 271"," 38"," 113373"," 98021"," 14345"," 116868"," 102678"," 12897"," 20721"," 17520"," 2868"," 687"," 56681"," 156963"," 7.6"," 7.4"," 7.8"," 7.8"," 7.2"," 7.7"," 7.7"," 7.4"," 7.5"," 7.5"," 7.3"," 7.4"," 7.4"," 7.5"," 7.6"," 7.0"," 7.8"," 7.5"
"107","The Wolf of Wall Street (2013)",8.2,"881,984","Biography","Comedy","Crime",75,"Budget:        $100,000,000              (estimated)","180 min",171660,236650,250667,129164,46715,18682,8674,5854,4258,9689," 559564"," 123698"," 3622"," 2842"," 757"," 360841"," 286627"," 70874"," 227096"," 189110"," 34712"," 39996"," 32676"," 6629"," 730"," 89006"," 366829"," 8.2"," 7.8"," 8.6"," 8.7"," 8.0"," 8.4"," 8.5"," 7.9"," 8.0"," 8.1"," 7.7"," 7.6"," 7.6"," 7.5"," 7.8"," 7.8"," 8.1"," 8.1"
"108","Toy Story 3 (2010)",8.3,"596,385","Animation","Adventure","Comedy",92,"Budget:        $200,000,000              (estimated)","103 min",139773,149992,158704,88289,31291,11850,4859,2932,2119,6586," 389014"," 98386"," 3202"," 2405"," 776"," 260519"," 199962"," 58366"," 169886"," 140253"," 27658"," 32457"," 26171"," 5806"," 769"," 105490"," 267692"," 8.3"," 8.3"," 8.2"," 8.3"," 8.0"," 8.4"," 8.5"," 8.4"," 8.2"," 8.2"," 8.3"," 8.1"," 8.1"," 8.1"," 8.1"," 8.1"," 8.5"," 8.3"
"109","True Grit (2010)",7.6,"257,670","Adventure","Drama","Western",80,"Budget:        $38,000,000              (estimated)","110 min",21094,40901,91825,67175,23055,7191,2678,1305,779,1672," 197105"," 27125"," 381"," 340"," 35"," 89394"," 76864"," 11720"," 104201"," 91807"," 11163"," 25641"," 21885"," 3369"," 747"," 53749"," 137672"," 7.7"," 7.6"," 7.8"," 7.8"," 7.5"," 7.7"," 7.7"," 7.6"," 7.6"," 7.6"," 7.5"," 7.7"," 7.7"," 7.7"," 7.8"," 7.3"," 7.9"," 7.6"
"110","Tucker and Dale vs Evil (2010)",7.6,"138,624","Comedy","Horror","",65,"Opening Weekend:         $52,843              (USA)      (30 September 2011)","",16572,19818,44460,35863,13456,4588,1684,855,479,848," 106144"," 15113"," 219"," 198"," 20"," 52889"," 45169"," 7232"," 56379"," 49634"," 6156"," 8861"," 7645"," 1072"," 540"," 26213"," 73918"," 7.5"," 7.7"," 7.7"," 7.7"," 8.2"," 7.6"," 7.6"," 7.6"," 7.5"," 7.5"," 7.7"," 7.5"," 7.4"," 7.7"," 7.5"," 7.1"," 7.7"," 7.5"
"111","Tyrannosaur (2011)",7.6,"26,016","Drama","","",65,"Opening Weekend:         $804              (USA)      (18 November 2011)","",2060,4083,9078,6754,2468,755,310,146,111,251," 19827"," 3649"," 6"," 6"," 7314"," 5920"," 1338"," 12497"," 10628"," 1724"," 3311"," 2784"," 480"," 4"," 2231"," 18173",""," 7.6"," 7.6"," 6.0"," 6.0"," 7.6"," 7.6"," 7.6"," 7.5"," 7.5"," 7.6"," 7.5"," 7.5"," 7.4"," 5.8"," 6.5"," 7.4"," 7.6",""
"112","Warrior (2011)",8.2,"361,049","Action","Drama","Sport",71,"Budget:        $25,000,000              (estimated)","140 min",74983,96953,106673,52972,16668,5727,2353,1205,1050,2479," 270734"," 31075"," 673"," 583"," 84"," 153824"," 136536"," 16000"," 117636"," 105144"," 11019"," 15201"," 12960"," 1990"," 586"," 45342"," 176397"," 8.2"," 8.2"," 8.5"," 8.5"," 8.7"," 8.4"," 8.4"," 8.4"," 8.0"," 8.0"," 8.0"," 7.7"," 7.7"," 7.5"," 7.8"," 7.1"," 8.2"," 8.1"
"113","What We Do in the Shadows (2014)",7.6,"87,975","Comedy","Horror","",76,"Opening Weekend:         $128,520              (USA)      (20 February 2015)","",10485,14507,28608,20735,7696,2802,1200,721,450,781," 57028"," 15840"," 268"," 209"," 56"," 32406"," 23869"," 8125"," 31707"," 25592"," 5689"," 6013"," 4740"," 1138"," 389"," 12341"," 45062"," 7.5"," 7.8"," 7.9"," 7.9"," 8.0"," 7.7"," 7.7"," 7.9"," 7.5"," 7.4"," 7.8"," 7.3"," 7.3"," 7.7"," 7.7"," 6.8"," 7.7"," 7.5"
"114","Whiplash (2014)",8.5,"492,285","Drama","Music","",88,"Budget:        $3,300,000              (estimated)","107 min",110404,161864,132656,56007,16577,6031,2937,1859,1263,2723," 308900"," 71066"," 2878"," 2200"," 660"," 205839"," 161853"," 41944"," 123712"," 102839"," 19018"," 23345"," 19072"," 3812"," 590"," 49868"," 213952"," 8.5"," 8.4"," 9.0"," 9.1"," 8.9"," 8.6"," 8.7"," 8.5"," 8.3"," 8.3"," 8.2"," 8.1"," 8.1"," 8.2"," 8.7"," 8.0"," 8.6"," 8.4"
"115","Wreck-It Ralph (2012)",7.7,"295,125","Animation","Adventure","Comedy",72,"Opening Weekend:         $49,038,712              (USA)      (2 November 2012)","",41980,50262,96477,67934,24894,7748,2724,1190,703,1226," 190983"," 50202"," 1663"," 1182"," 467"," 120962"," 90759"," 29003"," 90203"," 74767"," 14148"," 13706"," 11356"," 2112"," 614"," 44962"," 129487"," 7.7"," 7.8"," 7.9"," 7.9"," 8.0"," 7.9"," 7.9"," 7.9"," 7.6"," 7.6"," 7.7"," 7.4"," 7.4"," 7.5"," 7.4"," 7.2"," 7.9"," 7.6"
"116","X-Men: Days of Future Past (2014)",8,"560,736","Action","Adventure","Sci-Fi",74,"Budget:        $200,000,000              (estimated)","132 min",91765,127521,183578,104658,33027,10059,3710,1903,1225,3301," 370835"," 71008"," 3038"," 2403"," 614"," 220178"," 179039"," 39094"," 158607"," 135392"," 20927"," 26834"," 22460"," 3884"," 710"," 67889"," 229049"," 8.0"," 8.1"," 8.4"," 8.4"," 8.6"," 8.1"," 8.1"," 8.2"," 7.8"," 7.8"," 8.0"," 7.7"," 7.7"," 7.9"," 7.5"," 7.4"," 8.1"," 7.9"
"117","X-Men: First Class (2011)",7.8,"556,713","Action","Adventure","Sci-Fi",65,"Budget:        $160,000,000              (estimated)","132 min",64428,96219,200144,129352,41945,12861,4799,2349,1448,3182," 382107"," 80444"," 2075"," 1612"," 443"," 223309"," 176821"," 44428"," 185909"," 157332"," 26094"," 30217"," 25051"," 4691"," 780"," 87542"," 257681"," 7.7"," 7.9"," 8.0"," 7.9"," 8.3"," 7.9"," 7.9"," 8.0"," 7.7"," 7.6"," 7.8"," 7.6"," 7.5"," 7.7"," 7.6"," 7.3"," 7.8"," 7.7"
"118","Zootopia (2016)",8.1,"309,474","Animation","Adventure","Comedy",78,"Budget:        $150,000,000              (estimated)","108 min",53626,70912,102352,57261,16719,4539,1467,733,496,1386," 176202"," 52345"," 2362"," 1641"," 706"," 119637"," 87499"," 30813"," 75474"," 61358"," 13034"," 12353"," 9959"," 2151"," 518"," 35975"," 122844"," 8.0"," 8.3"," 8.4"," 8.3"," 8.7"," 8.2"," 8.1"," 8.4"," 7.8"," 7.8"," 8.1"," 7.8"," 7.8"," 8.1"," 7.7"," 7.6"," 8.0"," 8.0"
